title,description,n_reviews,stars_avg,price_range,facilities,street,opening_hours,phone_number,featured_reviews,extra_content
Beer House,,1,"5,0",,,"Done Petri Plaza, 2, Deusto, 48014 Bilbo, Bizkaia",{},944 47 99 10,[],"['16 ene 2024 — Beer House n.º 1783 entre los pubs y bares de Bilbao: 3 opiniones y 1 foto detallada. Localízalo en el mapa y llama para reservar mesa.', 'Visita Bilbobeer en la Calle Amistad y disfruta de un nuevo concepto un lugar en el que saben adaptarse a la vida cotidiana donde desayunar picar comer y...', 'Ver Beer House en Bilbao MADARIAGA ETORBIDEA 10 DEUSTU en Cylex y encuentre ☎ 944 47 91... datos de contacto.']"
Bar La Parra,,214,"4,2",€,Tiene terraza· Ideal para ver deportes,"Arturo Campión Kalea, 25, Deusto, 48015 Bilbo, Bizkaia","{'viernes': ['8:00–23:00'], 'sábado': ['8:00–22:00'], 'domingo': ['8:00–21:00'], 'lunes': ['8:00–22:00'], 'martes': ['8:00–22:00'], 'miércoles': ['8:00–22:00'], 'jueves': ['8:00–22:00']}",944 75 17 01,"['Un bar céntrico y con buena accesibilidad…Más', '15 de Mayo de 2022- Café cortado 1,60€. Además de caro (Precio de gran vía) lo saqué yo a la terraza, (Por si pensáis que parte del precio es del servicio de…Más', 'Se está super a gusto y son super majos! Variedad de pintxos y mini hamburguesitas que despues por la tarde cuestan 1€. Terraza amplia techada y/o al aire libre.']","['Bar La Parra · Bar La Parra · Bares-Cafeterías · Avda. Ramón Y Cajal 32 · La mejor tortilla para comer o llevar · También te pueden interesar · Todos los bares...', '16 ene 2024 — Disfruta los bien trabajados pintxos las generosas tortillas y las caseras tortitas de pan que propone este bar.', 'Ciudad: Bilbao Calle Estraunza 1 48011 Bilbao Spain. ""Un gran bar para tomar algo y acompañarlo de una buena gilda. en fa000ia o con amigos la...']"
Tokiberri,,58,"4,6",€,,"Luzarra Kalea, 6, Deusto, 48014 Bilbo, Bizkaia","{'viernes': ['17:00–2:00'], 'sábado': ['17:00–2:00'], 'domingo': ['Cerrado'], 'lunes': ['Cerrado'], 'martes': ['17:00–24:00'], 'miércoles': ['17:00–24:00'], 'jueves': ['17:00–2:00', 'Confirmado por esta empresa hace 5 semanas']}",677 24 02 71,"['Paré para tomar un refrigerio alrededor de las 8 pm un martes por la noche y las mesas estaban disponibles, el servicio era bueno y mi Bistro Steak Sandwich estaba en un roll…Más', 'Un bar donde la legalidad pasa desapercibida. El dueño también deja bastante que desear, botellas de dos litros de refresco para combinados, latas de cerveza y…Más', 'El mejor bar de Bilbao. Vamos Deusto!!!!!!!\n(Reto a quien quiera a echar un futbolo)…Más']","['10 ene 2024 — Este bar te ofrece probar unos pintxos caseros. Los usuarios de Google han premiado a Tokiberri con un 46.', 'Explora Bilbao con RUTAS bilbaoDendak. Descubre con nuestras rutas guiadas a través del comercio un Bilbao que no conocías.', 'Luzarra 8 48014 Bilbao País Vasco España · Direcciones Direcciones. +34 944 47 95 24 teléfono. Ver más. Tarjetas de crédito: No. Mesas al aire libre: No...']"
Bar Bitter Bilbao,,251,"4,8",1-10€,Sirve buenos cócteles· No se aceptan reservas· Se sirve comida en el bar,"Heliodoro de la Torre Kalea, 7, Deusto, 48014 Bilbo, Bizkaia","{'viernes': ['8:00–1:00'], 'sábado': ['10:00–1:00'], 'domingo': ['Cerrado'], 'lunes': ['8:00–23:00'], 'martes': ['8:00–24:00'], 'miércoles': ['0:00–23:00'], 'jueves': ['8:00–23:30', 'Actualizado por esta empresa hace 8 semanas']}",,"['Cafetería chulísima en Deusto. Un local bonito y acogedor, el personal muy atento, son encantadores. Variedad de pintxos y raciones. Las bravas con su salsa…Más', 'Me faltan palabras para describir la amabilidad y atención de este local. Pinchos muy ricos, desayunos y unos chopitos que me vuelven loco. Gran ambiente y ponen muy bien Lis combin…Más', 'Trato exquisito, comida y bebida exquisita']","[""Tu nuevo local de #Bilbao #Deusto Heliodoro de la torre 7. Etiquetanos #BitterBilbao. BITTER's profile picture. BITTER. FOOD's profile picture."", 'Página · Bar · +34 946 03 30 99 · bitterbilbao.com · Calificación · 47 10 opiniones.', 'Bitter Bilbao Bilbao Spain. 195 likes · 25 were here. Descubre nuestras raciones caseras pintxos vermut y cócteles de autor.']"
Pub El Ganadero,,34,"3,7",€,Hay karaoke· Se puede bailar· Se sirve comida en el bar,"Ramón y Cajal Etorb., 32, Deusto, 48014 Bilbo, Bizkaia","{'viernes': ['19:00–4:30'], 'sábado': ['18:00–4:30'], 'domingo': ['14:00–3:00'], 'lunes': ['Cerrado'], 'martes': ['Cerrado'], 'miércoles': ['Cerrado'], 'jueves': ['19:00–3:00']}",688 62 35 24,"['Pecima los camareros bodes van a su bola no atienden nada bien no saven quien pago su bebidas y quien no alguno. De la gente son mas listos y cogen bebidas…Más', 'Un lugar muy agradable para bailar,escuchar música, encontrar gente de muchas partes,tomar un buen trago o una delicia cerveza,muy buena música,un ambiente muy agradable…Más', 'Para todas las persona que les gusta bailar un poco aki la puedes pasar bien con tus amigos amigas']","['Av. Ramón y Cajal 32 Camino Berriz 48014 Bilbao País Vasco España · Direcciones Direcciones. +34 944 75 97 05 teléfono. Ver más. @elganaderopub Twitter...', '9 feb 2024 — Pub El Ganadero n.º 582 entre los pubs y bares de Bilbao: 34 opiniones y 1 foto detallada. Localízalo en el mapa y llama para reservar...', 'Avda. Lehendakari Aguirre 16 48014 BILBAO. 944759705. Acepto la política de privacidad. Compartir con: ver mapa. CategoríasBARES.']"
Bar restaurante Kantal,,114,"4,8",40-50€,Tiene terraza· Ideal para ver deportes,"Ibarrekolanda Kalea, 20, Deusto, 48015 Bilbo, Bizkaia","{'sábado': ['12:00–17:00'], 'domingo': ['11:30–17:00'], 'lunes': ['Cerrado'], 'martes': ['Cerrado'], 'miércoles': ['11:00–17:00'], 'jueves': ['11:00–17:00'], 'viernes': ['11:00–17:00', 'Actualizado por esta empresa hace 6 semanas']}",679 52 77 67,"['En un mundo de restaurantes donde la estandarización y la franquicia es la norma, sitios como el Kantal y gente como José te reconcilian con el concepto de…Más', 'La comida muy bien, a destacar los arroces, aunque un poco cara la ración (26€ por plato). Los postres también muy ricos.…Más', 'Comida perfecta!! El arroz increible y el chuleton sin palabras…. Hemos pasado una velada muy buena con mi pareja. Muchas gracias por tu amabilidad Jose, hemos comido de luj…Más']","['22 dic 2023 — El domingo dio de comer a 42 personas. Kantal. Dirección Ibarrekolanda 20 Sarriko Bilbao. Teléfono...', '18 feb 2024 — Bar restaurante Kantal n.º 248 entre los restaurantes de Bilbao: 104 opiniones. Localízalo en el mapa y llama para reservar mesa.', 'Un sencillo bar y restaurante ubicado en un lugar recóndito de Sarriko. La ubicación a la que hay que llegar no ha representado ningún obstáculo para un...']"
Biziberri - Bar / Restaurante,,175,"4,6",10-20€,Sirve buenos cócteles· Ideal para ver deportes· Hay menú infantil,"Zarandoa Etorb., 7, local 1, Deusto, 48015 Bilbo, Bizkaia",{},944 24 75 34,"['La verdad que siempre voy alli a tomar café, da gusto entrar por la puerta y que ya te lo estén preparando sin necesidad de pedirlo (está muy rico).…Más', 'Un buen lugar donde comer un menú del día sencillo, bien atendido y rico. Un poco justo pero bien elaborado. Una buena opción para comer en Ibarrekolanda/San Ignacio, ba…Más', 'Muy ricos los bocadillos, las patatas, las tartas … todo. La atención muy buena por parte de los camareros. Muy contentos con el sitio. Recomendable y volveremos.…Más']","['En Biziberri estamos preocupados por la mejor atención y ofrecer la excelencia en nuestros platos para lo cual contamos con un grupo de profesionales altamente...', '@portuberri.bilbao Bilbao-Bizkaia ⚜️Pintxos Café Vinos Comida Bebidas⚜️ ⌚️Abierto•Lun a Sab 944 247 534 Whatsapp · Photo by Biziberri | •Bar •...', 'Pan Brioche carne queso de cabra jamon lechuga cebolla acaramelizada tomate y mahonesa. Txipirones Encebollados. Txipirones aceite de oliva...']"
Sport Deusto,,66,"4,6",€,Tiene terraza· Se sirve comida en el bar,"Blas de Otero Kalea, 28, Deusto, 48014 Bilbo, Bizkaia","{'sábado': ['9:30–2:00'], 'domingo': ['10:30–17:00'], 'lunes': ['Cerrado'], 'martes': ['7:00–24:00'], 'miércoles': ['7:00–24:00'], 'jueves': ['7:00–24:00'], 'viernes': ['7:00–24:00']}",659 33 20 53,"['Un pequeño establecimiento en el barrio de Deusto,muy recomendable para hacer una parada y comer algún que otro pintxo,todos tenían un aspecto excepcional pero…Más', 'Buen bar en el bario de Deusto, mas concretamente en la zona de las peñas de Athletic. Gran variedad de pintxos, en especial los de tortilla y un gran surtido…Más', 'Un sitio ideal para tomar algo y picar raciones.Yo suelo pedir las patatas canallas,que te las sirven con 4 salsas diferentes,pero lo que te ofrecen está todo riquísimo.El personal amabilí…Más']","['El Departamento de Deportes posibilita un espacio de encuentro y esparcimiento entre los propios miembros de la Comunidad Universitaria ofertando programas...', 'Bilbao. Avda. de las Universidades 24. 48007 - Bilbao. 944 139 047 deportes@deusto.es. SAN SEBASTIÁN. Despacho de Deusto Campus Edificio Central. Mundaiz...', 'Tenemos varias raciones y pintxos calientes los fines de semanavariedad de vinos y cervezas..... Solemos tener musica en directo con fiesta 1 vez al mes.']"
Drakkar Luzarra Deusto,,171,"4,3",€,Tiene terraza· Sirve buenos cócteles· No se aceptan reservas,"Ramón y Cajal Etorb., 21, Deusto, 48014 Bilbo, Bizkaia","{'viernes': ['19:00–3:30'], 'sábado': ['19:00–3:30'], 'domingo': ['17:00–1:00'], 'lunes': ['17:00–1:00'], 'martes': ['17:00–2:00'], 'miércoles': ['17:00–2:00'], 'jueves': ['17:00–2:00']}",695 78 88 92,"['Lugar de culto. Futbolín, alcohol a buen precio, camareros muy amables y temazos todo el tiempo. Mi madre me dio la vida, y el Drakkar las ganas de vivirla…Más', 'Este bar merece todas sus 5 estrellas por servir un kalimotxo verdaderamente espectacular. Cada vaso es una obra maestra de equilibrio entre el vino tinto y la…Más', 'Bebida barata, aunque de procedencia dudosa, buenas copas, pero posible diarrea. El personal un poco inusual, ya que había una insistencia excesiva en retirarnos los vasos de c…Más']","['El Drakkar Bilbao. Es un lugar situado en el corazón de Bilbao en el emblematico barrio de Deusto. Un lugar tranquilo para poder disfrutar de los mejores...', '16 ene 2024 — Drakkar Luzarra Deusto n.º 1624 entre los pubs y bares de Bilbao: ❤️ 195 opiniones y 73 fotos detalladas. Localízalo en el mapa y llama...', 'Descubre el bar Drakkar donde pasar un buen rato en Deusto. ... Luzarra 1 Bilbao. Bares y cafeterías en Bizkaia. 0.03 Km. Imagen de Café de...']"
Cafetería Portu eder,,456,"3,8",1-10€,,"C. Islas Canarias, 99, Deusto, 48015 Bilbao, Biscay","{'viernes': ['7:30–0:30'], 'sábado': ['8:00–0:30'], 'domingo': ['8:00–0:30'], 'lunes': ['7:30–23:30'], 'martes': ['7:30–23:30'], 'miércoles': ['7:30–23:30'], 'jueves': ['7:30–23:30', 'Actualizado por otras personas hace 12 semanas']}",946 52 26 58,"['El dueño un miserable. Que cobra lo que le da la gana! Ya que en la misma tarde nos a cobrado diferente.…Más', 'Suelo ser asiduo a este local, dado q vivo cerca y llevo a mi hija al parque q está al lado. Estoy cansado de la mala antencion en hostelería, pero más…Más', 'Lo único que merece la pena es la zona,sobre todo si tienes peques.Hay columpios.…Más']","['Muy buen servicio buenos pintxos y una terraza inmejorable. Lo mejor las rabas los domingos y su cerveza grimbergen!', 'Amplia terraza la mejor variedad de bocadillos y bebidas. Queremos que pases un buen momento! Calle Islas Canarias 99 48015 Bilbao BI España Bilbao Spain...', 'Somos una cafetería restaurante especializados en pintxos del día  tortillas y cafés ☕️. Unas vistas increíbles de la Ría de Bilbao y de la nueva zona de']"
Rocoto,,11000,"4,1",10-20€,,"Heliodoro de la Torre Kalea, 9, Deusto, 48014 Bilbo, Bizkaia",{},944 00 27 21,"['Un sitio muy bueno para probar la comida peruana. Los camareros muy atentos, aún estando sentados afuera, ya que, íbamos con el perro. La comida con sabor y…Más', 'Fuimos a comer un domingo a tres personas y compartimos de entrenadores juniciosos a la huancaína, tamales y ceviche de pescado. Luego agarramos el plato ……Más', 'Fui ayer y bien. La comida estaba muy buena, aunque al servicio le doy un 4 por que llevaron un plato de nuestra mesa a otro, y la persona comió cuando los…Más']","['Horario: Lunes a domingo: 12:30 a 22:30 horas. Viernes y sábados: 12:30 a 23:30 horas. Carta y reservas. Heliodoro la Torre 9 – Deusto – Bilbao | Teléfonos:...', 'El restaurante Rocoto está puntuado por los viajeros de Tripadvisor según las categorías siguientes: Comida: 3.5; Servicio: 3.5; Calidad/precio: 3.5...', 'Restaurante rústico situado en el corazón de Bilbao. Lo auténtico de la gastronomía peruana. Tra. \U000f1676. Seguir.']"
Izeki Taberna,,357,"4,6",1-20€,Tiene terraza· Sirve buenos cócteles· No se aceptan reservas,"Ramón y Cajal Etorb., 26, Deusto, 48014 Bilbo, Bizkaia",{},,"['Fuimos hacia las 15:00 de la tarde y ya apenas quedaban pintxos, pero los que quedaban, de tortilla y pulpo, estaban deliciosos. El trato fue muy agradable y tienen una terraza ideal donde …Más', 'Tanto la camarera que está en barra como la cocinera, dos chicas majísimas. Muy buenos precios y todo delicioso. Encima nos recomendaron cosas para ver por allí, asique no se puede…Más', 'Todo bien, comida y camareros maravillosos, de hecho, se les echa de menos, desde que está el dueño es otra cosa. El otro día me dijo que llevaba más de una…Más']","['Izeki Taberna · Izeki Taberna · Bares-Restaurantes · Avda. Ramón y Cajal 26 · A la rica cerveza. · También te pueden interesar · Todos los bares-restaurantes...', 'Izeki Bilbao. 67 Me gusta · 22 personas han estado aquí. Bar.', '16 ene 2024 — Izeki Taberna n.º 652 entre los pubs y bares de Bilbao: 358 opiniones y 31 fotos detalladas. Localízalo en el mapa y llama para reservar...']"
Taberna El Arenal,Cocina tradicional vasca con pintxos y menú en comedor de vigas vistas decorado con fotografías de actores.,366,"4,1",€,Tiene terraza· Sirve cenas,"Plaza de, Celestino María del Arenal Plaza, 8, 48015 Bilbao, Biscay","{'sábado': ['9:00–24:00'], 'domingo': ['9:00–24:00'], 'lunes': ['8:00–24:00'], 'martes': ['8:00–24:00'], 'miércoles': ['8:00–24:00'], 'jueves': ['8:00–24:00'], 'viernes': ['8:00–24:00']}",944 47 46 47,"['He ido con mi marido y mi hija. Mi marido y yo hemos cogido menús, y mi hija un plato suelto. El menú incluía postre y hemos pedido los dos postres que teníamos…Más', 'Hemos ido a celebrar el 95 cumpleaños de mi ama y hemos salido encantados. Era la primera vez que íbamos y no será la última. La comida muy bien y el personal muy amable. Todo genial…Más', 'Bar muy agradable y muy bien recibido por el jefe. Excelente cocina refinada ofrece el menú. Estamos contentos de que el resort sea nuestra velada en un buen ……Más']","['Calidad precio genial comida casera y muy buena! Elegimos el menú del día por 10€. Atención al cliente inmejorable! Fecha de...', 'Taberna El Arenal. Plaza Celestino María del Arena 8 48015 Bilbo.', 'Horario de apertura · lun: · mar: · mié: · jue: · vie: · sáb: · dom: 9:00–24:00...']"
MINI Bar,,244,"4,0",10-20€,Tiene terraza· Ideal para ver deportes· Tiene Wi-Fi,"Deustuko Zubia, 6, Abando, 48014 Bilbo, Bizkaia","{'sábado': ['11:30–24:00'], 'domingo': ['11:30–18:00'], 'lunes': ['8:30–22:00'], 'martes': ['8:30–22:00'], 'miércoles': ['8:30–22:00'], 'jueves': ['8:30–22:00'], 'viernes': ['8:30–24:00']}",944 36 15 05,"['Hay buen ambiente las camareras muy majas. Fuimos un domingo a comer. Esperamos bastante de un plato a otro. Menos mal que nos lo tomamos con humor. Lo que me…Más', '100% recomendable. Magnifica atencion y comida espectacular. El responsable Clint estuvo muy atento. De lo mejor en Bilbao', 'Buen lugar para tomar unas copas o un tapeo con amigos en pleno centro. El servicio amable y rápido. La comida no está mal, en línea con el resto del local. Buen vino y cocktails variad…Más']","['Un lugar acogedor donde poder degustar la mejor comida mediterránea de la mano de Atif El Omari que cuenta con más de 20 años de experiencia en la cocina.', 'Mini Bar · Deustuko Zubia 6 48009 Bilbao España · Página web · Mejora este perfil.', 'Bar-restaurante dedicado al MINI. Está situado en los bajos de la torre Iberdrola Plaza de Euskadi al comienzo del Puente de Deuesto.']"
Bar Gurea,,88,"4,4",,Tiene terraza· Sirve buenos cócteles· No se aceptan reservas,"De Azpeitia Sancho Kalea, 3, Deusto, 48014 Bilbo, Bizkaia","{'sábado': ['6:00–23:00'], 'domingo': ['6:00–23:00'], 'lunes': ['6:00–23:00'], 'martes': ['6:00–23:00'], 'miércoles': ['6:00–23:00'], 'jueves': ['6:00–23:00'], 'viernes': ['6:00–23:00']}",944 47 35 92,"['Pequeño bar, con fama de tener buen café. Servicio cordial y amable. Limpieza. Pinchos discretos pero seleccionados. Cuenta con una,pequeña terraza al aire libre, situada en ligera …Más', 'Otro lugar con solera en Deusto, muy buen café para empezar el día o a media mañana. Quien dice café dice caña, que siempre apetece una “tostada”. Típico ambiente de barrio, agradabl…Más', 'Buen sitio para tomar y comer algo en un ambiente muy bueno y camarer@s muy eficientes.']","['En tres palabras: Buen servicio seriedad y buen producto. Contacto. Blas de Otero 5 Bilbao. 944473592.', 'Explora Bilbao con RUTAS bilbaoDendak. Descubre con nuestras rutas guiadas a través del comercio un Bilbao que no conocías.', 'Puedes pedir para llevar | Bilbao - ¿Te apetece escuchar buena música en un buen ambiente y un lugar moderno? Entonces el «Bar Gurea» es lo que necesitas.']"
Bar Doa Berria,,432,"4,3",1-10€,Tiene terraza· No se aceptan reservas· Se sirve comida en el bar,"Blas de Otero Kalea, 23, Deusto, 48014 Bilbo, Bizkaia","{'sábado': ['Cerrado'], 'domingo': ['Cerrado'], 'lunes': ['8:00–22:00'], 'martes': ['8:00–22:00'], 'miércoles': ['8:00–22:00'], 'jueves': ['8:00–22:00'], 'viernes': ['8:00–22:00']}",944 47 19 20,"['Perfecto para hacer una parada y degustar su pincho de tortilla con cebolla... Está riquísima.…Más', 'La tortilla rica, pero el servicio deja mucho que desear. Hay muchos sitios en bilbao con buena tortilla y excelente servicio. Ademas precio 2,4€…Más', ""La tortilla buena, pero es la mitad de lo que suele ser, casi parece una tortilla francesa, y vale un ojo de la cara, 2'40€!!! No merece la pena para nada""]","['Opening Hours · Lunes 08:00 - 22:00 · Martes 08:00 - 22:00 · Miércoles 08:00 - 22:00 · Jueves 08:00 - 22:00 · Viernes 08:00 - 22:00 · Sábado Cerrado - · Domingo...', '13 mar 2023 — Este local ofrece uno de los mejores pintxos de tortilla de Bilbao.', '5 feb 2024 — Bar Doa Berria n.º 140 entre los pubs y bares de Bilbao: 407 opiniones y 15 fotos detalladas. Localízalo en el mapa y llama para reservar...']"
Bar Sociedad Deportiva San Ignacio,,50,"4,2",€,Solo se acepta efectivo· Tiene terraza· Se puede bailar,"Calle Oñatiko Unibertsitatearen, 15, 48015 Bilbao, Biscay",{},,"['Tienen una cocinera q vale su peso en oro , siempre un placer pasarse a hacer una visita', 'Ha mejorado su barra. Ahora dispone de pintxos. También ha puesto cafetera: Dolce gusto.', 'El kalimotxo jormal... el resto también. El baño estaba súper limpio y las fotos antiguas le dan glamour. Sólo recordar que es una obligacion dar agua de grifo a los niños. Firmado: un padre.']","['Bar Sociedad Deportiva San Ignacio · Testimonios · Galería · Contactar. Dirección. Cómo llegar. Calle Oñatiko Unibertsitatearen. 15.', '27 dic 2023 — Bar Sociedad Deportiva San Ignacio n.º 289 entre los pubs y bares de Bilbao: 50 opiniones y 1 foto detallada. Localízalo en el mapa y llama...', 'Bar Jaime referente en bilbao desde 1983. Es un lugar que forma parte de la identidad de la ciudad. Desayunos Sus vermús preparados acompañados por los...']"
Cafetería Gran Stop,,107,"4,2",1-10€,,"San Ignacio, 183, 48013 Bilbao, Biscay","{'sábado': ['7:00–24:00'], 'domingo': ['7:00–24:00'], 'lunes': ['7:00–24:00'], 'martes': ['7:00–24:00'], 'miércoles': ['7:00–24:00'], 'jueves': ['7:00–24:00'], 'viernes': ['7:00–24:00']}",635 70 58 25,"['Bar del siglo pasado sin ninguna reforma en los últimos 40 años. Ambiente tranquilo. Café pésimo.…Más', 'Tiene una puntuación de 4.3 sobre cinco estrellas. Unos de los mejores cafés que he probado, muy buenos pintxos y muy agradable el dueño.', 'Muy buen ambiente , muy buen servicio el camarero muy empatico y muy agradable la comida y los pintxos muy buena ,si eres cliente habitual tiene buena memoria…Más']","['Gran Stop Bar. Información. Especialidad: Desayunos rabas y pintxos. Ofrecemos ... ¿Dónde estamos? Gran Vía 38 2º Bilbao 48009. Tel: 944 356 660. Disfruta...', 'En la «Cafetería Gran Stop» tenemos una gran variedad de platos salados tartas y bebidas. Ven a hacernos una visita y relájate en nuestra cafetería acogedora.', 'Cafetería gran stop - Bilbao Biscay · Dirección: San Ignacio 183 · Pais : ES · Ciudad : Bilbao · Provincia : Biscay · Codigo Postal: 48013 · Tipo de...']"
"Café-Bar ""Presley""",,707,"4,3",1-10€,,"Agirre Lehendakariaren Etorb., 179, Deusto, 48015 Bilbo, Bizkaia","{'sábado': ['7:30–24:00'], 'domingo': ['7:30–24:00'], 'lunes': ['6:30–23:00'], 'martes': ['6:30–23:00'], 'miércoles': ['6:30–23:00'], 'jueves': ['6:30–23:00'], 'viernes': ['6:30–23:00']}",944 75 80 48,"['Un sitio clásico en san Ignacio, y siempre recomendable. Pintxos surtidos y ricos, bien ambiente y trato agradable por parte del personal. Además está muy bien ubicado, junto al metro.…Más', 'El mejor desayuno de San Ignacio. Pintxos muy ricos, atenciones mejor. No encontrarás mejor calidad-precio en Bilbao', 'Un bar de 10, el café está riquísimo y los pintxos son lo más. La familia que lo lleva es suuuuper maja y transmiten muy buen rollo.…Más']","['16 ene 2024 — Café-Bar ""Presley"" te agradará con sus sabrosos pintxos su singular laing y sus tiernas tortitas de pan. Elige un extraordinario licor: no lo...', 'Cafetería Presley 2 · Página · Tienda de café · +34 944 75 37 10.', 'Cafeteria PRESLEY II es un negocio ubicado en Julio Urquijo 12 Bilbao en el barrio de San Pedro De Deusto del distrito de Casco Viejo.']"
Café-Bar La Terraza,,143,"4,2",€,Tiene terraza· No se aceptan reservas· Se sirve comida en el bar,"Deustuko Zubia, 1, Deusto, 48014 Bilbo, Bizkaia","{'sábado': ['Cerrado'], 'domingo': ['Cerrado'], 'lunes': ['8:00–19:00'], 'martes': ['8:00–19:00'], 'miércoles': ['8:00–19:00'], 'jueves': ['8:00–19:00'], 'viernes': ['8:00–19:00']}",944 00 80 87,"[""Me han cobrado 5'20 € por un café solo largo mal puesto y un sándwich..... Carísimo para ser Bilbao que ya es caro en general."", 'El pincho de tortilla que me apreté estaba bastante bueno. La camarera muy maja y muy buen servicio. Eso si, los precios un poco subidos. Aupa. Mucho mejor que la ramonoteca (S…Más', 'Los camareros muy majos, está lleno de gente joven por la cercanía con la uni de Deusto.…Más']","['Especialistas en tortilla y pintxos todo lo que hacen está muy bien y aun precio más que razonable. Si pasas por Deusto no dejes de visitar este café / bar.', 'CAFÉ La Terraza Bilbao. 14 Me gusta · 18 personas han estado aquí. LUGAR DE ... Página · Bar. \U000f16ea. +34 946 54 27 33. \U000f184d. Todavía sin calificar 4 opiniones. No...', '16 ene 2024 — La Terraza cafe n.º 89 entre los cafés de Bilbao: 265 opiniones y 42 fotos detalladas. Localízalo en el mapa y llama para reservar mesa.']"
Waman Restaurante,,434,"4,6",,Es obligatorio hacer una reserva· Tiene Wi-Fi,"Deusto, Madariaga Etorbidea, 5, 48014 Bilbao, Biscay","{'sábado': ['13:30–16:30', '20:30–23:30'], 'domingo': ['13:30–16:30'], 'lunes': ['Cerrado'], 'martes': ['13:30–16:30', '20:30–22:30'], 'miércoles': ['13:30–16:30', '20:30–22:30'], 'jueves': ['13:30–16:30', '20:30–22:30'], 'viernes': ['13:30–16:30', '20:30–23:30']}",688 85 82 17,"['Uno de mis restaurantes favoritos! Esta todo riquísimo he comido y seguiré comiendo cada uno de sus platos .. me encanta! Y la atención es maravillosa, te…Más', 'Absolutamente maravilloso. Cuidado hasta el más mínimo detalle. Un local precioso, una atención sublime y una cocina impresionante. No es especialmente barato pero m…Más', 'Restaurante peruano elegante, y acogedor. Tenían entre semana a mediodía un menú de 38€ (bebidas no incluidas) y un menú degustación. Además puedes pedir a la…Más']","['¡Estamos trabajando en la web! Horario. Lunes: cerrado por descanso. De martes a jueves. 13.30 a 16.30 h y de 20.30 a 22.30 horas. Viernes...', 'Restaurante peruano elegante y acogedor. Tenían entre semana a mediodía un menú de 38€ bebidas no incluidas y un menú degustación.', 'Cocina peruana. Chef @gabriel_waman Guía MICHELIN 2023 Horario y reservas. Madariaga Etorbidea 5 Bilbao Spain 48014. www.wamanrestaurante.com.']"
Txoko Bilbao - Ático,,8,"4,1",,,"Eraso Jeneralaren Kalea, 1 - Ático, Deusto, 48014 Bilbo, Bizkaia","{'sábado': ['10:00–23:00'], 'domingo': ['10:00–23:00'], 'lunes': ['10:00–23:00'], 'martes': ['10:00–23:00'], 'miércoles': ['10:00–23:00'], 'jueves': ['10:00–23:00'], 'viernes': ['10:00–23:00']}",696 86 44 07,"['Dejo mucho que desear esta vez,despues de estar en el de santutxu y salir muy contento me dejaron quedar mal con los compañeros del curro.comida muy justa y no muy bien…Más', 'Sorprendente y muy acogedor. Comida extraordinaria y buen lugar para celebrar eventos. Lo recomiendo', 'Muy buen local para celebraciones y comidas c9n terraza en el ático y a 5m del metro de Deusto.']","['4 ene 2024 — Txoko Bilbao - Ático n.º 1915 entre los restaurantes de Bilbao: 8 opiniones y 2 fotos detalladas. Localízalo en el mapa y llama para...', 'Txoko Bilbao - Ático en Bilbao. Eraso Jeneralaren Kalea 1 - Ático  Biscay Bilbao · 696 86 44 07. 82. Basado en 8 opiniones encontradas en 1 webs...', 'Amplio comedor con capacidad para 28 personas. Con el equipamiento necesario para cocinar y disfrutar de una buena comida. Txokos en Deusto Bilbao.']"
El búho rojo Cocktail lounge,,7,"4,1",,Sirve buenos cócteles· Se sirve comida en el bar,"Rafaela Ybarra Kalea, 14, Deusto, 48014 Bilbo, Bizkaia","{'viernes': ['19:00–2:30'], 'sábado': ['19:00–2:30'], 'domingo': ['13:00–21:00'], 'lunes': ['Cerrado'], 'martes': ['Cerrado'], 'miércoles': ['19:00–23:30'], 'jueves': ['19:00–0:30']}",688 89 83 60,"['Cerrado actualmente. No hemos podido disfrutar del descuento. Pero el restaurante la Maldita muy rico todo', 'CERRADO....Y con apariencia de baatante tiempo......indican que dan descuentos en cocteles teniendo el local cerrado.....…Más', 'Me ha gustado todo buen rollo buenos cócteles he ido por primera vez y me ha encantado todo y incluso en el otro local venden hamburguesas que también son las…Más']","['c/ Blas de Otero 23 Deusto Bilbao. HACER RESERVA. c/ Luis Luciano Bonaparte ... LOCALES. MALDITAS · ARLECCHINO. El Buho Rojo ® Todos los derechos Reservados...', 'Nosotros. Trabaja con nosotros · Política de privacidad · Franquiciate con nosotros. LOCALES. MALDITAS · ARLECCHINO. El Buho Rojo ® Todos los derechos...', 'RANGO DE PRECIOS. 6 € - 15 € ; Tipos de cocina. Mediterránea Española Comida rápida ; Comidas. Comidas Cenas Abierto hasta tarde Bebidas.']"
